date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
04-11-2023,Mizoram,Aizawl,1.0,PM10,53.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-07-2022,Madhya Pradesh,Dewas,1.0,PM2.5,27.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-08-2022,Uttar Pradesh,Bareilly,2.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-10-2023,Andhra Pradesh,Rajamahendravaram,1.0,PM10,48.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Bihar,Aurangabad,1.0,PM10,77.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-05-2023,Madhya Pradesh,Mandideep,1.0,PM10,221.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-02-2019,Uttar Pradesh,NOIDA,2.0,"PM2.5,PM10",208.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Odisha,Suakati,1.0,PM10,133.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-09-2024,Karnataka,Hassan,1.0,PM10,53.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-06-2018,Kerala,Thiruvananthapuram,1.0,CO,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-01-2025,Bihar,Motihari,1.0,PM10,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-10-2020,Haryana,Rohtak,1.0,PM2.5,293.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2024,Uttar Pradesh,Lucknow,6.0,PM2.5,151.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2020,Karnataka,Shivamogga,1.0,PM2.5,107.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2021,Rajasthan,Kota,1.0,PM2.5,175.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-01-2023,Kerala,Kozhikode,1.0,PM2.5,75.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-07-2023,Madhya Pradesh,Damoh,1.0,CO,20.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-08-2022,Punjab,Ludhiana,1.0,PM10,104.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-07-2020,Maharashtra,Chandrapur,1.0,PM10,40.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-02-2021,Madhya Pradesh,Damoh,1.0,PM10,173.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2023,Uttar Pradesh,Moradabad,6.0,PM2.5,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-01-2022,Nagaland,Kohima,1.0,PM2.5,74.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-05-2020,Karnataka,Mysuru,1.0,O3,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-08-2022,Mizoram,Aizawl,1.0,SO2,20.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-09-2022,Gujarat,Gandhi Nagar,1.0,PM10,50.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-01-2021,Rajasthan,Pali,1.0,PM10,137.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-02-2024,Maharashtra,Kalyan,1.0,PM10,139.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2022,Andhra Pradesh,Visakhapatnam,1.0,O3,70.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2024,West Bengal,Barrackpore,1.0,PM10,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-06-2022,Uttar Pradesh,Khurja,1.0,PM10,141.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2023,Bihar,Bhagalpur,2.0,PM2.5,202.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-02-2017,Uttar Pradesh,Kanpur,1.0,PM2.5,331.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2022,Karnataka,Mangalore,1.0,CO,41.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-11-2022,Bihar,Samastipur,1.0,PM2.5,211.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Odisha,Byasanagar,1.0,PM2.5,237.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-02-2022,Madhya Pradesh,Jabalpur,1.0,PM10,156.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2023,Karnataka,Shivamogga,1.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-05-2021,Haryana,Faridabad,2.0,"PM2.5,PM10",248.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-02-2019,Maharashtra,Mumbai,1.0,PM2.5,219.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-01-2021,Madhya Pradesh,Dewas,1.0,PM2.5,268.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-10-2020,Haryana,Jind,1.0,PM2.5,253.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-09-2019,Karnataka,Hubballi,1.0,PM10,70.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-02-2024,Punjab,Mandi Gobindgarh,1.0,PM10,162.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-05-2024,Rajasthan,Bhiwadi,2.0,"PM2.5,PM10",212.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-10-2019,Haryana,Faridabad,1.0,PM2.5,214.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-02-2022,Bihar,Arrah,1.0,PM2.5,262.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-02-2023,Uttar Pradesh,Varanasi,4.0,PM10,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-10-2024,West Bengal,Asansol,4.0,PM2.5,124.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-06-2024,Himachal Pradesh,Baddi,1.0,O3,135.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Bihar,Muzaffarpur,2.0,PM2.5,212.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-09-2022,Haryana,Mandikhera,1.0,PM10,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-10-2024,Uttar Pradesh,NOIDA,4.0,"PM2.5,PM10",209.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
