year,month,state,rto,vehicle_class,fuel,value,unit,note
2019,February,Haryana,All Vahan Running Office,CRANE MOUNTED VEHICLE,ELECTRIC(BOV),1,value in Absolute Number,
2023,October,Ladakh,All Vahan Running Office,GOODS CARRIER,DIESEL,51,value in Absolute Number,
2024,October,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MOTOR CAR,PETROL/CNG,161,value in Absolute Number,
2016,December,Karnataka,All Vahan Running Office,MOTOR CAB,PETROL/CNG,1,value in Absolute Number,
2019,May,Delhi,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,20,value in Absolute Number,
2016,February,Jharkhand,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,279,value in Absolute Number,
2025,February,Chhattisgarh,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,10,value in Absolute Number,
2023,June,Tripura,All Vahan Running Office,MOTOR CAB,PETROL,5,value in Absolute Number,
2024,June,Maharashtra,All Vahan Running Office,MOTOR CAR,PETROL/LPG,11,value in Absolute Number,
2020,November,Sikkim,All Vahan Running Office,MOTOR CAB,PETROL,44,value in Absolute Number,
2014,April,Haryana,All Vahan Running Office,GOODS CARRIER,CNG ONLY,91,value in Absolute Number,
2023,November,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,1,value in Absolute Number,
2023,November,Odisha,All Vahan Running Office,OMNI BUS,CNG ONLY,1,value in Absolute Number,
2014,November,Maharashtra,All Vahan Running Office,ADAPTED VEHICLE,PETROL/CNG,4,value in Absolute Number,
2019,March,Uttarakhand,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,1,value in Absolute Number,
2014,June,Kerala,All Vahan Running Office,M-CYCLE/SCOOTER,NOT APPLICABLE,1,value in Absolute Number,
2023,May,Assam,All Vahan Running Office,THREE WHEELER (GOODS),PETROL,32,value in Absolute Number,
2023,June,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,230,value in Absolute Number,
2022,October,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,33,value in Absolute Number,
2024,August,Kerala,All Vahan Running Office,ROAD ROLLER,DIESEL,1,value in Absolute Number,
2014,January,Tamil Nadu,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,51,value in Absolute Number,
2020,May,Assam,All Vahan Running Office,GOODS CARRIER,PETROL,37,value in Absolute Number,
2021,June,Arunachal Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,4,value in Absolute Number,
2017,December,Kerala,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,513,value in Absolute Number,
2019,July,Arunachal Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,2,value in Absolute Number,
2014,April,Karnataka,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL/LPG,1,value in Absolute Number,
2019,January,Maharashtra,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,219,value in Absolute Number,
2022,December,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,2,value in Absolute Number,
2017,January,Punjab,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,1,value in Absolute Number,
2018,February,Jammu and Kashmir,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,2,value in Absolute Number,
2016,August,Maharashtra,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,242,value in Absolute Number,
2015,April,Rajasthan,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,490,value in Absolute Number,
2014,June,Rajasthan,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,1,value in Absolute Number,
2022,June,West Bengal,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1008,value in Absolute Number,
2014,May,Karnataka,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,29,value in Absolute Number,
2020,August,Odisha,All Vahan Running Office,MOTOR CAR,PETROL,2801,value in Absolute Number,
2017,August,Gujarat,All Vahan Running Office,AMBULANCE,PETROL/LPG,1,value in Absolute Number,
2024,September,Tamil Nadu,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,1643,value in Absolute Number,
2020,October,Kerala,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2018,February,Goa,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),PETROL,11,value in Absolute Number,
2023,December,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,1,value in Absolute Number,
2018,November,Uttar Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,53,value in Absolute Number,
2019,October,Delhi,All Vahan Running Office,MOTOR CAR,DIESEL,2454,value in Absolute Number,
2022,July,Sikkim,All Vahan Running Office,AMBULANCE,DIESEL,1,value in Absolute Number,
2022,April,Chandigarh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,1807,value in Absolute Number,
2024,May,Lakshadweep,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,47,value in Absolute Number,
2016,March,Puducherry,All Vahan Running Office,AMBULANCE,DIESEL,1,value in Absolute Number,
2017,June,Meghalaya,All Vahan Running Office,EXCAVATOR (NT),DIESEL,3,value in Absolute Number,
2016,November,Jharkhand,All Vahan Running Office,TRACTOR (COMMERCIAL),NOT APPLICABLE,3,value in Absolute Number,
2019,April,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,10,value in Absolute Number,
2023,January,Ladakh,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2021,November,Haryana,All Vahan Running Office,MOTOR CAR,DIESEL,2941,value in Absolute Number,
2020,June,Gujarat,All Vahan Running Office,AMBULANCE,PETROL,4,value in Absolute Number,
2024,February,Tripura,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,33,value in Absolute Number,
2014,December,Haryana,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL,2,value in Absolute Number,
2018,May,Andhra Pradesh,All Vahan Running Office,HARVESTER,DIESEL,33,value in Absolute Number,
2024,January,Delhi,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,3,value in Absolute Number,
2024,July,Uttar Pradesh,All Vahan Running Office,MOPED,ELECTRIC(BOV),1,value in Absolute Number,
2017,November,Bihar,All Vahan Running Office,MOTOR CAB,DIESEL,459,value in Absolute Number,
2025,January,Jammu and Kashmir,All Vahan Running Office,BUS,DIESEL,49,value in Absolute Number,
2018,June,Madhya Pradesh,All Vahan Running Office,MOPED,PETROL,1872,value in Absolute Number,
2016,September,Gujarat,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,10,value in Absolute Number,
2025,January,Haryana,All Vahan Running Office,MOTOR CAB,ELECTRIC(BOV),71,value in Absolute Number,
2018,February,West Bengal,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,30,value in Absolute Number,
2018,November,Goa,All Vahan Running Office,MAXI CAB,DIESEL,9,value in Absolute Number,
2023,June,Delhi,All Vahan Running Office,GOODS CARRIER,DIESEL,31,value in Absolute Number,
2020,September,Maharashtra,All Vahan Running Office,MOPED,PETROL,1670,value in Absolute Number,
2023,July,Gujarat,All Vahan Running Office,MAXI CAB,PETROL/CNG,1,value in Absolute Number,
2020,May,Haryana,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),2,value in Absolute Number,
2022,August,Jharkhand,All Vahan Running Office,MOTOR CAB,PETROL,31,value in Absolute Number,
2019,October,Chhattisgarh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,93,value in Absolute Number,
2018,July,Punjab,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,296,value in Absolute Number,
2021,March,Gujarat,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,63983,value in Absolute Number,
2020,December,Haryana,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,58,value in Absolute Number,
2022,March,Himachal Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,8,value in Absolute Number,
2025,April,Chhattisgarh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,25,value in Absolute Number,
2017,January,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,28,value in Absolute Number,
2019,February,Meghalaya,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,3,value in Absolute Number,
2015,May,Maharashtra,All Vahan Running Office,EXCAVATOR (NT),DIESEL,104,value in Absolute Number,
2019,January,Assam,All Vahan Running Office,BUS,NOT APPLICABLE,1,value in Absolute Number,
2018,October,Odisha,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,103,value in Absolute Number,
2023,July,Haryana,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,CNG ONLY,91,value in Absolute Number,
2024,September,Goa,All Vahan Running Office,AMBULANCE,PETROL,2,value in Absolute Number,
2017,November,Goa,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1,value in Absolute Number,
2019,September,Rajasthan,All Vahan Running Office,AMBULANCE,PETROL/CNG,1,value in Absolute Number,
2018,October,Jharkhand,All Vahan Running Office,E-RICKSHAW(P),DIESEL,1,value in Absolute Number,
2019,July,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,1,value in Absolute Number,
2020,October,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL,152,value in Absolute Number,
2019,December,Mizoram,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,16,value in Absolute Number,
2020,April,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,381,value in Absolute Number,
2016,July,Andhra Pradesh,All Vahan Running Office,HARVESTER,DIESEL,18,value in Absolute Number,
2023,September,Andhra Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,171,value in Absolute Number,
2014,June,Meghalaya,All Vahan Running Office,GOODS CARRIER,DIESEL,132,value in Absolute Number,
2021,November,Ladakh,All Vahan Running Office,BUS,DIESEL,1,value in Absolute Number,
2024,March,Kerala,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,13,value in Absolute Number,
2014,September,Uttarakhand,All Vahan Running Office,GOODS CARRIER,DIESEL,450,value in Absolute Number,
2020,February,Punjab,All Vahan Running Office,MOTOR CAB,DIESEL,171,value in Absolute Number,
2014,February,Karnataka,All Vahan Running Office,MOTOR CAB,DIESEL,1138,value in Absolute Number,
2025,April,Mizoram,All Vahan Running Office,M-CYCLE/SCOOTER,ETHANOL,3,value in Absolute Number,
2020,March,Maharashtra,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,23,value in Absolute Number,
2022,July,Uttar Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),79,value in Absolute Number,
2018,December,Gujarat,All Vahan Running Office,DUMPER,DIESEL,104,value in Absolute Number,
2015,November,Mizoram,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,2,value in Absolute Number,
2024,February,Punjab,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),166,value in Absolute Number,
2021,December,Kerala,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,7,value in Absolute Number,
2016,November,Tamil Nadu,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,333,value in Absolute Number,
2023,May,Uttarakhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,7,value in Absolute Number,
2022,August,Tamil Nadu,All Vahan Running Office,MOPED,PETROL,5081,value in Absolute Number,
2023,December,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,154,value in Absolute Number,
